ID	miRNA_ID	SPOT_ID
J20	hsa-miR-29c	
J21	hsa-miR-372	
J22	hsa-miR-133a	
J23	hsa-miR-124	
J24	hsa-miR-190	
J3	hsa-miR-608	
J4	hsa-miR-576-5p	
J5	hsa-miR-497	
J6	hsa-miR-19a	
J7	hsa-miR-187*	
J8	hsa-miR-620	
J9	hsa-let-7i	
K1	hsa-miR-302a	
K10	hsa-miR-877	
K11	hsa-miR-512-5p	
K12	hsa-miR-449a	
K13	hsa-miR-498	
K14	hsa-miR-148b	
K15	hsa-miR-127-3p	
K16	hsa-miR-598	
K17	hsa-miR-96	
K18	hsa-let-7d	
K19	hsa-miR-135b	
K2	hsa-miR-595	
K20	hsa-miR-495	
K21	hsa-miR-299-5p	
K22	hsa-miR-34c-3p	
K23	hsa-miR-596	
K24	hsa-miR-126*	
K3	hsa-miR-602	
K4	hsa-miR-223	
K5	hsa-miR-627	
K6	hsa-miR-34b	
K7	hsa-miR-410	
K8	hsa-miR-17	
K9	hsa-miR-376a	
L1	hsa-miR-145	
L10	hsa-miR-200b	
L11	hsa-miR-298	
L12	hsa-miR-193a-5p	
L13	hsa-miR-449b	
L14	hsa-miR-520d-5p	
L15	hsa-miR-192	
L16	hsa-miR-29a	
L17	hsa-miR-18a*	
L18	hsa-miR-383	
L19	hsa-miR-9	
L2		SNORD38B
L20	hsa-miR-202*	
L21	hsa-miR-363*	
L22	hsa-miR-147b	
L23	hsa-miR-197	
L24	hsa-miR-597	
L3	hsa-miR-516a-5p	
L4	hsa-miR-421	
L5	hsa-miR-96*	
L6	hsa-miR-362-5p	
L7	hsa-miR-615-3p	
L8	hsa-miR-550	
L9	hsa-miR-766	
M1	hsa-miR-326	
M10	hsa-miR-517a	
M11	hsa-miR-361-3p	
M12	hsa-miR-21*	
M13	hsa-miR-220a	
M14	hsa-miR-518f	
M15	hsa-miR-222	
M16	hsa-miR-617	
M17	hsa-miR-154	
M18	hsa-miR-708	
M19	hsa-let-7b	
M2	hsa-miR-15b	
M20	hsa-miR-95	
M21	hsa-miR-517c	
M22	hsa-miR-151-5p	
M23	hsa-miR-502-5p	
M24	hsa-miR-345	
M3	hsa-miR-105	
M4	hsa-miR-196b	
M5	hsa-miR-296-5p	
M6	hsa-miR-20b	
M7	hsa-miR-147	
M8	hsa-miR-198	
M9	hsa-miR-375	
N1	hsa-miR-509-3p	
N10	hsa-miR-183	
N11	hsa-miR-135a	
N12	hsa-miR-30b*	
N13	hsa-miR-146b-5p	
N14	hsa-miR-301a	
N15	hsa-miR-1	
N16	hsa-miR-299-3p	
N17	hsa-miR-142-3p	
N18	hsa-miR-338-3p	
N19	hsa-miR-584	
N2		U6
N20	hsa-miR-377	
