ID	Detector	miRNA_ID	SPOT_ID
44	mmu-miR-34a-4395168	mmu-miR-34a	
45	mmu-miR-34c-4373036	mmu-miR-34c	
46	mmu-miR-93-4373302	mmu-miR-93	
47	mmu-miR-96-4373372	mmu-miR-96	
48	mmu-miR-98-4373009	mmu-miR-98	
49	mmu-miR-99a-4373008	mmu-miR-99a	
50	mmu-miR-99b-4373007	mmu-miR-99b	
51	mmu-miR-100-4373160	mmu-miR-100	
52	mmu-miR-101a-4395364	mmu-miR-101a	
53	mmu-miR-103-4373158	mmu-miR-103	
54	mmu-miR-105-4395595	mmu-miR-105	
55	mmu-miR-107-4373154	mmu-miR-107	
56	mmu-miR-122-4395356	mmu-miR-122	
57	mmu-miR-124-4373295	mmu-miR-124	
58	mmu-miR-125a-3p-4395310	mmu-miR-125a-3p	
59	mmu-miR-125a-5p-4395309	mmu-miR-125a-5p	
60	mmu-miR-125b-5p-4373148	mmu-miR-125b-5p	
61	mmu-miR-126-3p-4395339	mmu-miR-126-3p	
62	mmu-miR-126-5p-4373269	mmu-miR-126-5p	
63	mmu-miR-127-4373147	mmu-miR-127	
64	mmu-miR-128a-4395327	mmu-miR-128a	
65	mmu-miR-129-3p-4373297	mmu-miR-129-3p	
66	mmu-miR-130a-4373145	mmu-miR-130a	
67	mmu-miR-130b-4373144	mmu-miR-130b	
68	mmu-miR-132-4373143	mmu-miR-132	
69	mmu-miR-133a-4395357	mmu-miR-133a	
70	mmu-miR-133b-4395358	mmu-miR-133b	
71	mmu-miR-134-4373299	mmu-miR-134	
72	mmu-miR-135a-4373140	mmu-miR-135a	
73	mmu-miR-135b-4395372	mmu-miR-135b	
74	mmu-miR-136-4395641	mmu-miR-136	
75	mmu-miR-137-4373301	mmu-miR-137	
76	mmu-miR-138-4395395	mmu-miR-138	
77	mmu-miR-139-3p-4395676	mmu-miR-139-3p	
78	mmu-miR-139-5p-4395400	mmu-miR-139-5p	
79	mmu-miR-140-4373374	mmu-miR-140	
80	mmu-miR-141-4373137	mmu-miR-141	
81	mmu-miR-142-3p-4373136	mmu-miR-142-3p	
82	mmu-miR-142-5p-4395359	mmu-miR-142-5p	
83	snoRNA135-4380912		snoRNA135
84	mmu-miR-145-4395389	mmu-miR-145	
85	mmu-miR-146a-4373132	mmu-miR-146a	
86	mmu-miR-146b-4373178	mmu-miR-146b	
87	mmu-miR-147-4395373	mmu-miR-147	
88	mmu-miR-148a-4373130	mmu-miR-148a	
89	mmu-miR-148b-4373129	mmu-miR-148b	
90	mmu-miR-150-4373127	mmu-miR-150	
91	mmu-miR-151-3p-4373304	mmu-miR-151-3p	
92	mmu-miR-152-4395170	mmu-miR-152	
93	mmu-miR-153-4373305	mmu-miR-153	
94	mmu-miR-154-4373270	mmu-miR-154	
95	mmu-miR-181a-4373117	mmu-miR-181a	
96	mmu-miR-181c-4373115	mmu-miR-181c	
97	mmu-miR-182-4395729	mmu-miR-182	
98	mmu-miR-183-4395380	mmu-miR-183	
99	mmu-miR-184-4373113	mmu-miR-184	
100	mmu-miR-185-4395382	mmu-miR-185	
101	mmu-miR-186-4395396	mmu-miR-186	
102	mmu-miR-190-4373110	mmu-miR-190	
103	mmu-miR-191-4395410	mmu-miR-191	
104	mmu-miR-192-4373108	mmu-miR-192	
105	mmu-miR-193-4395361	mmu-miR-193	
106	mmu-miR-193b-4395597	mmu-miR-193b	
107	mmu-miR-194-4373106	mmu-miR-194	
108	mmu-miR-195-4373105	mmu-miR-195	
109	mmu-miR-196b-4395326	mmu-miR-196b	
110	rno-miR-196c-4395750	rno-miR-196c	
111	mmu-miR-197-4373102	mmu-miR-197	
112	mmu-miR-199a-3p-4395415	mmu-miR-199a-3p	
113	mmu-miR-199a-5p-4373272	mmu-miR-199a-5p	
114	mmu-miR-200a-4378069	mmu-miR-200a	
115	mmu-miR-200b-4395362	mmu-miR-200b	
116	mmu-miR-200c-4395411	mmu-miR-200c	
117	mmu-miR-201-4395708	mmu-miR-201	
118	mmu-miR-202-3p-4373311	mmu-miR-202-3p	
119	mmu-miR-202-5p-4395709	mmu-miR-202-5p	
120	mmu-miR-203-4373095	mmu-miR-203	
121	mmu-miR-204-4373094	mmu-miR-204	
122	mmu-miR-205-4373093	mmu-miR-205	
123	mmu-miR-207-4373314	mmu-miR-207	
124	rno-miR-207-4381096	rno-miR-207	
125	mmu-miR-208-4373091	mmu-miR-208	
126	mmu-miR-208b-4395401	mmu-miR-208b	
127	mmu-miR-210-4373089	mmu-miR-210	
128	mmu-miR-211-4373315	mmu-miR-211	
129	mmu-miR-214-4395417	mmu-miR-214	
130	mmu-miR-215-4373316	mmu-miR-215	
131	snoRNA202-4380914		snoRNA202
132	mmu-miR-216a-4395331	mmu-miR-216a	
133	mmu-miR-216b-4395437	mmu-miR-216b	
134	mmu-miR-217-4395686	mmu-miR-217	
135	mmu-miR-218-4373081	mmu-miR-218	
136	mmu-miR-219-4373080	mmu-miR-219	
137	mmu-miR-220-4395598	mmu-miR-220	
138	mmu-miR-221-4373077	mmu-miR-221	
139	mmu-miR-222-4395387	mmu-miR-222	
140	mmu-miR-223-4395406	mmu-miR-223	
141	mmu-miR-224-4395683	mmu-miR-224	
142	mmu-miR-290-3p-4395721	mmu-miR-290-3p	
143	mmu-miR-291a-3p-4395722	mmu-miR-291a-3p	
144	mmu-miR-291b-5p-4395667	mmu-miR-291b-5p	
145	mmu-miR-292-3p-4395723	mmu-miR-292-3p	
146	mmu-miR-293-4386754	mmu-miR-293	
147	mmu-miR-294-4373326	mmu-miR-294	
148	mmu-miR-295-4373327	mmu-miR-295	
149	mmu-miR-296-3p-4395212	mmu-miR-296-3p	
150	mmu-miR-296-5p-4373066	mmu-miR-296-5p	
151	mmu-miR-297c-4395610	mmu-miR-297c	
152	mmu-miR-297b-5p-4381049	mmu-miR-297b-5p	
153	mmu-miR-298-4395728	mmu-miR-298	
154	mmu-miR-301a-4373064	mmu-miR-301a	
155	mmu-miR-301b-4395730	mmu-miR-301b	
156	mmu-miR-302a-4378070	mmu-miR-302a	
157	mmu-miR-302c-4395688	mmu-miR-302c	
158	mmu-miR-302d-4373063	mmu-miR-302d	
159	mmu-miR-320-4395388	mmu-miR-320	
160	mmu-miR-323-3p-4395338	mmu-miR-323-3p	
161	mmu-miR-324-5p-4373052	mmu-miR-324-5p	
162	mmu-miR-325-4395640	mmu-miR-325	
163	rno-miR-327-4381108	rno-miR-327	
164	mmu-miR-328-4373049	mmu-miR-328	
165	mmu-miR-329-4373336	mmu-miR-329	
166	mmu-miR-330-4395341	mmu-miR-330	
167	mmu-miR-331-3p-4373046	mmu-miR-331-3p	
168	mmu-miR-331-5p-4395344	mmu-miR-331-5p	
169	rno-miR-333-4381109	rno-miR-333	
170	mmu-miR-335-3p-4395296	mmu-miR-335-3p	
171	mmu-miR-335-5p-4373045	mmu-miR-335-5p	
172	rno-miR-336-4381111	rno-miR-336	
173	mmu-miR-337-3p-4395662	mmu-miR-337-3p	
174	mmu-miR-337-5p-4395645	mmu-miR-337-5p	
175	mmu-miR-338-3p-4395363	mmu-miR-338-3p	
176	mmu-miR-339-3p-4395663	mmu-miR-339-3p	
177	rno-miR-339-3p-4395760	rno-miR-339-3p	
178	mmu-miR-339-5p-4395368	mmu-miR-339-5p	
179	U87-4386735		U87
180	mmu-miR-340-3p-4395370	mmu-miR-340-3p	
181	mmu-miR-340-5p-4395369	mmu-miR-340-5p	
182	mmu-miR-342-3p-4395371	mmu-miR-342-3p	
183	mmu-miR-342-5p-4395657	mmu-miR-342-5p	
184	rno-miR-343-4381123	rno-miR-343	
185	mmu-miR-344-4373340	mmu-miR-344	
186	rno-miR-344-3p-4381112	rno-miR-344-3p	
187	rno-miR-344-5p-4395761	rno-miR-344-5p	
188	mmu-miR-345-3p-4395659	mmu-miR-345-3p	
189	rno-miR-345-3p-4395762	rno-miR-345-3p	
190	mmu-miR-345-5p-4395658	mmu-miR-345-5p	
191	mmu-miR-346-4373342	mmu-miR-346	
192	rno-miR-346-4381113	rno-miR-346	
193	rno-miR-347-4381114	rno-miR-347	
194	rno-miR-349-4381115	rno-miR-349	
195	mmu-miR-350-4395660	mmu-miR-350	
196	rno-miR-351-4395764	rno-miR-351	
197	mmu-miR-361-4373035	mmu-miR-361	
198	mmu-miR-362-3p-4395746	mmu-miR-362-3p	
199	mmu-miR-363-4378090	mmu-miR-363	
200	mmu-miR-365-4373194	mmu-miR-365	
201	mmu-miR-367-4373034	mmu-miR-367	
202	mmu-miR-369-3p-4373032	mmu-miR-369-3p	
203	mmu-miR-369-5p-4373195	mmu-miR-369-5p	
204	mmu-miR-370-4395386	mmu-miR-370	
205	mmu-miR-375-4373027	mmu-miR-375	
206	mmu-miR-376a-4373347	mmu-miR-376a	
207	mmu-miR-376b-4395582	mmu-miR-376b	
208	mmu-miR-376c-4395580	mmu-miR-376c	
209	mmu-miR-377-4373025	mmu-miR-377	
210	rno-miR-377-4381100	rno-miR-377	
211	mmu-miR-379-4373349	mmu-miR-379	
212	mmu-miR-380-3p-4373350	mmu-miR-380-3p	
213	mmu-miR-380-5p-4395731	mmu-miR-380-5p	
214	mmu-miR-381-4373020	mmu-miR-381	
215	mmu-miR-382-4373019	mmu-miR-382	
216	mmu-miR-383-4381093	mmu-miR-383	
217	mmu-miR-384-3p-4395733	mmu-miR-384-3p	
218	mmu-miR-384-5p-4395732	mmu-miR-384-5p	
219	mmu-miR-409-3p-4395443	mmu-miR-409-3p	
220	mmu-miR-409-5p-4395442	mmu-miR-409-5p	
221	mmu-miR-410-4378093	mmu-miR-410	
222	mmu-miR-411-4381013	mmu-miR-411	
223	rno-miR-421-4381122	rno-miR-421	
224	mmu-miR-423-5p-4395451	mmu-miR-423-5p	
225	mmu-miR-425-4380926	mmu-miR-425	
226	mmu-miR-429-4373355	mmu-miR-429	
227	Y1-4386739		Y1
228	mmu-miR-431-4395173	mmu-miR-431	
229	mmu-miR-433-4373205	mmu-miR-433	
230	mmu-miR-434-3p-4395734	mmu-miR-434-3p	
231	mmu-miR-434-5p-4395711	mmu-miR-434-5p	
232	mmu-miR-448-4373206	mmu-miR-448	
233	mmu-miR-449a-4373207	mmu-miR-449a	
234	mmu-miR-449b-4395669	mmu-miR-449b	
235	mmu-miR-450a-5p-4395414	mmu-miR-450a-5p	
236	mmu-miR-450b-5p-4386779	mmu-miR-450b-5p	
237	mmu-miR-451-4373360	mmu-miR-451	
238	mmu-miR-453-4395614	mmu-miR-453	
239	mmu-miR-455-4395585	mmu-miR-455	
240	mmu-miR-465a-3p-4395574	mmu-miR-465a-3p	
241	mmu-miR-465a-5p-4373363	mmu-miR-465a-5p	
242	mmu-miR-465b-5p-4395615	mmu-miR-465b-5p	
243	rno-miR-466b-4395767	rno-miR-466b	
244	rno-miR-466c-4395768	rno-miR-466c	
245	mmu-miR-466h-4395646	mmu-miR-466h	
246	mmu-miR-467a-4395717	mmu-miR-467a	
247	mmu-miR-467c-4395647	mmu-miR-467c	
248	mmu-miR-467d-4395648	mmu-miR-467d	
249	mmu-miR-467e-4395698	mmu-miR-467e	
250	mmu-miR-470-4395718	mmu-miR-470	
251	mmu-miR-484-4381032	mmu-miR-484	
252	mmu-miR-486-4378096	mmu-miR-486	
253	mmu-miR-487b-4378102	mmu-miR-487b	
254	mmu-miR-489-4378114	mmu-miR-489	
255	mmu-miR-491-4381053	mmu-miR-491	
256	mmu-miR-493-4395649	mmu-miR-493	
257	mmu-miR-494-4395476	mmu-miR-494	
258	mmu-miR-495-4381078	mmu-miR-495	
259	mmu-miR-497-4381046	mmu-miR-497	
260	mmu-miR-499-4381047	mmu-miR-499	
261	mmu-miR-500-4395736	mmu-miR-500	
262	mmu-miR-501-3p-4381069	mmu-miR-501-3p	
263	mmu-miR-503-4395586	mmu-miR-503	
264	mmu-miR-504-4395195	mmu-miR-504	
265	mmu-miR-505-4381071	mmu-miR-505	
266	mmu-miR-509-3p-4395651	mmu-miR-509-3p	
267	mmu-miR-509-5p-4395650	mmu-miR-509-5p	
268	mmu-miR-511-4395679	mmu-miR-511	
269	mmu-miR-532-3p-4395466	mmu-miR-532-3p	
270	mmu-miR-532-5p-4380928	mmu-miR-532-5p	
271	rno-miR-532-5p-4395752	rno-miR-532-5p	
272	mmu-miR-539-4378103	mmu-miR-539	
273	mmu-miR-540-3p-4378119	mmu-miR-540-3p	
274	mmu-miR-540-5p-4395691	mmu-miR-540-5p	
275	ath-miR159a-4373390	ath-miR159a	
276	mmu-miR-542-3p-4378101	mmu-miR-542-3p	
277	mmu-miR-542-5p-4395693	mmu-miR-542-5p	
278	mmu-miR-543-4395487	mmu-miR-543	
279	rno-miR-543-4395766	rno-miR-543	
280	mmu-miR-544-4395680	mmu-miR-544	
281	mmu-miR-551b-4380945	mmu-miR-551b	
282	mmu-miR-574-3p-4395460	mmu-miR-574-3p	
283	mmu-miR-582-3p-4395697	mmu-miR-582-3p	
284	mmu-miR-582-5p-4395696	mmu-miR-582-5p	
285	mmu-miR-590-5p-4395176	mmu-miR-590-5p	
286	mmu-miR-598-4395606	mmu-miR-598	
287	rno-miR-598-5p-4395754	rno-miR-598-5p	
288	mmu-miR-615-3p-4386777	mmu-miR-615-3p	
289	mmu-miR-615-5p-4395464	mmu-miR-615-5p	
290	mmu-miR-654-3p-4395350	mmu-miR-654-3p	
291	mmu-miR-654-5p-4395652	mmu-miR-654-5p	
292	mmu-miR-665-4395737	mmu-miR-665	
293	mmu-miR-666-5p-4386770	mmu-miR-666-5p	
294	mmu-miR-669a-4381091	mmu-miR-669a	
295	mmu-miR-671-3p-4395433	mmu-miR-671-3p	
296	mmu-miR-672-4395438	mmu-miR-672	
297	rno-miR-673-4395755	rno-miR-673	
298	mmu-miR-674-4395193	mmu-miR-674	
299	mmu-miR-708-4395452	mmu-miR-708	
300	mmu-miR-741-4395587	mmu-miR-741	
301	mmu-miR-742-4395573	mmu-miR-742	
302	rno-miR-742-4395756	rno-miR-742	
303	mmu-miR-743b-3p-4395601	mmu-miR-743b-3p	
304	mmu-miR-743b-5p-4395600	mmu-miR-743b-5p	
305	mmu-miR-743a-4395599	mmu-miR-743a	
306	rno-miR-743b-4395769	rno-miR-743b	
307	mmu-miR-744-4395435	mmu-miR-744	
308	rno-miR-758-4395180	rno-miR-758	
309	rno-miR-760-5p-4395758	rno-miR-760-5p	
310	mmu-miR-770-3p-4395564	mmu-miR-770-3p	
311	mmu-miR-802-4395566	mmu-miR-802	
312	mmu-miR-871-4395465	mmu-miR-871	
313	rno-miR-871-4395770	rno-miR-871	
314	mmu-miR-872-4395375	mmu-miR-872	
315	mmu-miR-873-4395467	mmu-miR-873	
316	mmu-miR-874-4395379	mmu-miR-874	
317	mmu-miR-875-3p-4395677	mmu-miR-875-3p	
318	mmu-miR-876-3p-4395594	mmu-miR-876-3p	
319	mmu-miR-876-5p-4395593	mmu-miR-876-5p	
320	rno-miR-878-4395771	rno-miR-878	
321	mmu-miR-878-5p-4395670	mmu-miR-878-5p	
322	mmu-miR-879-4395602	mmu-miR-879	
323	mmu-miR-881-4395739	mmu-miR-881	
324	rno-miR-881-4395773	rno-miR-881	
325	mmu-miR-883a-3p-4395591	mmu-miR-883a-3p	
326	mmu-miR-883b-3p-4395695	mmu-miR-883b-3p	
327	mmu-miR-883a-5p-4395741	mmu-miR-883a-5p	
328	mmu-miR-125b-3p-4395489	mmu-miR-125b-3p	
329	mmu-miR-143-4395360	mmu-miR-143	
330	rno-miR-219-1-3p-4395778	rno-miR-219-1-3p	
331	rno-miR-219-2-3p-4395501	rno-miR-219-2-3p	
332	rno-miR-224-4373187	rno-miR-224	
333	mmu-miR-324-3p-4395639	mmu-miR-324-3p	
334	mmu-miR-351-4373345	mmu-miR-351	
335	rno-miR-381-4381102	rno-miR-381	
336	rno-miR-409-5p-4381098	rno-miR-409-5p	
337	rno-miR-450a-4381124	rno-miR-450a	
338	mmu-miR-452-4373281	mmu-miR-452	
339	mmu-miR-464-4373362	mmu-miR-464	
340	mmu-miR-467b-4381084	mmu-miR-467b	
341	mmu-miR-468-4373366	mmu-miR-468	
342	mmu-miR-469-4373367	mmu-miR-469	
343	mmu-miR-488-4381074	mmu-miR-488	
344	mmu-miR-490-4373215	mmu-miR-490	
345	mmu-miR-496-4386771	mmu-miR-496	
346	rno-miR-505-4381097	rno-miR-505	
347	mmu-miR-546-4381044	mmu-miR-546	
348	mmu-miR-547-4395694	mmu-miR-547	
349	mmu-miR-652-4395463	mmu-miR-652	
350	mmu-miR-667-4386769	mmu-miR-667	
351	mmu-miR-668-4386767	mmu-miR-668	
352	mmu-miR-670-4395561	mmu-miR-670	
353	mmu-miR-675-3p-4386762	mmu-miR-675-3p	
354	mmu-miR-675-5p-4386761	mmu-miR-675-5p	
355	mmu-miR-676-4386776	mmu-miR-676	
356	mmu-miR-677-4381075	mmu-miR-677	
357	mmu-miR-679-4381077	mmu-miR-679	
358	mmu-miR-680-4381079	mmu-miR-680	
359	mmu-miR-682-4381081	mmu-miR-682	
360	mmu-miR-683-4381082	mmu-miR-683	
361	mmu-miR-684-4381083	mmu-miR-684	
362	mmu-miR-685-4386748	mmu-miR-685	
363	mmu-miR-686-4381085	mmu-miR-686	
364	mmu-miR-687-4386750	mmu-miR-687	
365	mmu-let-7a-4373169	mmu-let-7a	
366	mmu-let-7f-4373164	mmu-let-7f	
367	mmu-miR-106b-4373155	mmu-miR-106b	
368	mmu-miR-155-4395701	mmu-miR-155	
369	mmu-miR-17-4395419	mmu-miR-17	
370	mmu-miR-23a-4373074	mmu-miR-23a	
371	mmu-miR-29a-4395223	mmu-miR-29a	
372	mmu-miR-30a-4373061	mmu-miR-30a	
373	mmu-miR-30e-4395334	mmu-miR-30e	
374	mmu-miR-31-4373331	mmu-miR-31	
375	mmu-miR-34b-3p-4395748	mmu-miR-34b-3p	
376	mmu-miR-92a-4373013	mmu-miR-92a	
377	rno-miR-190b-4395749	rno-miR-190b	
378	mmu-miR-129-5p-4373171	mmu-miR-129-5p	
379	mmu-miR-187-4373307	mmu-miR-187	
380	mmu-miR-188-3p-4395217	mmu-miR-188-3p	
381	mmu-miR-106a-4395589	mmu-miR-106a	
382	mmu-miR-188-5p-4395431	mmu-miR-188-5p	
383	mmu-miR-302b-4378071	mmu-miR-302b	
384	mmu-miR-322-4378107	mmu-miR-322	
385	hsa-miR-136#-002100	hsa-miR-136#	
386	hsa-miR-30c-1#-002108	hsa-miR-30c-1#	
387	hsa-miR-30c-2#-002110	hsa-miR-30c-2#	
388	hsa-miR-148a#-002134	hsa-miR-148a#	
389	hsa-miR-33a#-002136	hsa-miR-33a#	
390	hsa-miR-93#-002139	hsa-miR-93#	
391	hsa-miR-29b-2#-002166	hsa-miR-29b-2#	
392	hsa-let-7i#-002172	hsa-let-7i#	
393	hsa-miR-15b#-002173	hsa-miR-15b#	
394	hsa-miR-27b#-002174	hsa-miR-27b#	
395	Mamm U6-001973		Mamm U6
396	Mamm U6-001973		Mamm U6
397	hsa-miR-935-002178	hsa-miR-935	
398	hsa-miR-99b#-002196	hsa-miR-99b#	
399	hsa-miR-124#-002197	hsa-miR-124#	
400	hsa-miR-127-5p-002229	hsa-miR-127-5p	
401	hsa-miR-9#-002231	hsa-miR-9#	
402	hsa-miR-140-3p-002234	hsa-miR-140-3p	
403	hsa-miR-411#-002238	hsa-miR-411#	
404	hsa-miR-149-002255	hsa-miR-149	
405	hsa-miR-378-000567	hsa-miR-378	
406	hsa-miR-200a#-001011	hsa-miR-200a#	
407	mmu-miR-10b-001181	mmu-miR-10b	
408	hsa-miR-340-000550	hsa-miR-340	
409	hsa-miR-338-000548	hsa-miR-338	
410	hsa-miR-324-3p-000579	hsa-miR-324-3p	
411	hsa-miR-30e-3p-000422	hsa-miR-30e-3p	
412	hsa-miR-30a-3p-000416	hsa-miR-30a-3p	
413	hsa-miR-223-000526	hsa-miR-223	
414	hsa-miR-22-000398	hsa-miR-22	
415	hsa-miR-214-000517	hsa-miR-214	
416	hsa-miR-213-000516	hsa-miR-213	
417	hsa-miR-200c-000505	hsa-miR-200c	
418	hsa-miR-143-000466	hsa-miR-143	
419	Mamm U6-001973		Mamm U6
420	Mamm U6-001973		Mamm U6
421	hsa-miR-136-000592	hsa-miR-136	
422	hsa-miR-299-5p-000600	hsa-miR-299-5p	
423	hsa-miR-412-001023	hsa-miR-412	
424	hsa-miR-425-001104	hsa-miR-425	
425	mmu-miR-295#-002596	mmu-miR-295#	
426	rno-miR-504-007334	rno-miR-504	
427	mmu-miR-1224-240985_mat	mmu-miR-1224	
428	hsa-miR-363#-001283	hsa-miR-363#	
429	mmu-miR-217-001133	mmu-miR-217	
430	mmu-miR-291-3p-001135	mmu-miR-291-3p	
431	mmu-miR-291-5p-001202	mmu-miR-291-5p	
432	mmu-miR-292-3p-001054	mmu-miR-292-3p	
433	mmu-miR-292-5p-001055	mmu-miR-292-5p	
434	mmu-miR-300-000191	mmu-miR-300	
435	mmu-miR-322-001059	mmu-miR-322	
436	mmu-miR-325-001060	mmu-miR-325	
437	mmu-miR-326-001061	mmu-miR-326	
438	mmu-miR-330-001062	mmu-miR-330	
439	mmu-miR-337-000193	mmu-miR-337	
440	mmu-miR-345-001137	mmu-miR-345	
441	mmu-miR-370-001068	mmu-miR-370	
442	mmu-miR-433-5p-001078	mmu-miR-433-5p	
443	rno-miR-513-241072_mat	rno-miR-513	
444	hsa-miR-200b-001800	hsa-miR-200b	
445	mmu-miR-483-001291	mmu-miR-483	
446	mmu-miR-494-001293	mmu-miR-494	
447	mmu-miR-302b#-001307	mmu-miR-302b#	
448	mmu-miR-374-5p-001319	mmu-miR-374-5p	
449	mmu-miR-695-001627	mmu-miR-695	
450	mmu-miR-696-001628	mmu-miR-696	
451	mmu-miR-720-001629	mmu-miR-720	
452	mmu-miR-698-001632	mmu-miR-698	
453	mmu-miR-700-001634	mmu-miR-700	
454	mmu-miR-701-001635	mmu-miR-701	
455	mmu-miR-702-001636	mmu-miR-702	
456	mmu-miR-133a#-001637	mmu-miR-133a#	
457	mmu-miR-706-001641	mmu-miR-706	
458	mmu-miR-710-001645	mmu-miR-710	
459	mmu-miR-711-001646	mmu-miR-711	
460	mmu-miR-713-001648	mmu-miR-713	
461	mmu-miR-715-001649	mmu-miR-715	
462	mmu-miR-717-001652	mmu-miR-717	
463	mmu-miR-718-001656	mmu-miR-718	
464	mmu-miR-721-001657	mmu-miR-721	
465	mmu-miR-690-001677	mmu-miR-690	
466	mmu-miR-691-001678	mmu-miR-691	
467	snoRNA135-001230		snoRNA135
468	mmu-miR-692-001679	mmu-miR-692	
469	mmu-miR-693-001680	mmu-miR-693	
470	mmu-miR-694-001681	mmu-miR-694	
471	mmu-miR-467b-001684	mmu-miR-467b	
472	rno-miR-664-001323	rno-miR-664	
473	rno-miR-20b-001326	rno-miR-20b	
474	rno-miR-20a#-001336	rno-miR-20a#	
475	rno-miR-350-001337	rno-miR-350	
476	rno-miR-489-001353	rno-miR-489	
477	rno-miR-382#-001354	rno-miR-382#	
478	rno-miR-29c#-001818	rno-miR-29c#	
479	hsa-miR-26b#-002444	hsa-miR-26b#	
480	hsa-miR-27a#-002445	hsa-miR-27a#	
481	hsa-miR-28-3p-002446	hsa-miR-28-3p	
482	hsa-miR-29a#-002447	hsa-miR-29a#	
483	mmu-miR-488#-002014	mmu-miR-488#	
484	mmu-miR-758-002025	mmu-miR-758	
485	mmu-miR-762-002028	mmu-miR-762	
486	mmu-miR-761-002030	mmu-miR-761	
487	mmu-miR-764-3p-002032	mmu-miR-764-3p	
488	mmu-miR-763-002033	mmu-miR-763	
489	mmu-miR-759-002034	mmu-miR-759	
490	mmu-miR-693-3p-002036	mmu-miR-693-3p	
491	hsa-miR-23a#-002439	hsa-miR-23a#	
492	mmu-miR-374#-002043	mmu-miR-374#	
493	mmu-miR-804-002044	mmu-miR-804	
494	mmu-miR-805-002045	mmu-miR-805	
495	mmu-miR-666-3p-002448	mmu-miR-666-3p	
496	mmu-miR-673-3p-002449	mmu-miR-673-3p	
497	mmu-miR-376b#-002451	mmu-miR-376b#	
498	mmu-miR-146b#-002453	mmu-miR-146b#	
499	mmu-miR-742#-002458	mmu-miR-742#	
500	mmu-miR-130b#-002460	mmu-miR-130b#	
501	mmu-miR-879#-002473	mmu-miR-879#	
502	mmu-miR-881#-002475	mmu-miR-881#	
503	mmu-miR-196a#-002477	mmu-miR-196a#	
504	mmu-let-7a#-002478	mmu-let-7a#	
505	mmu-let-7c-1#-002479	mmu-let-7c-1#	
506	mmu-miR-327-002481	mmu-miR-327	
507	mmu-miR-376a#-002482	mmu-miR-376a#	
508	mmu-miR-343-002483	mmu-miR-343	
509	mmu-miR-16#-002489	mmu-miR-16#	
510	mmu-miR-18a#-002490	mmu-miR-18a#	
511	mmu-miR-20a#-002491	mmu-miR-20a#	
512	mmu-miR-24-2#-002494	mmu-miR-24-2#	
513	mmu-miR-31#-002495	mmu-miR-31#	
514	mmu-miR-92a#-002496	mmu-miR-92a#	
515	snoRNA202-001232		snoRNA202
516	mmu-miR-29b#-002497	mmu-miR-29b#	
517	mmu-miR-30b#-002498	mmu-miR-30b#	
518	mmu-miR-322#-002506	mmu-miR-322#	
519	mmu-miR-101a#-002507	mmu-miR-101a#	
520	mmu-miR-125b#-002508	mmu-miR-125b#	
521	mmu-miR-136#-002512	mmu-miR-136#	
522	mmu-miR-141#-002513	mmu-miR-141#	
523	mmu-miR-145#-002514	mmu-miR-145#	
524	mmu-miR-376c#-002523	mmu-miR-376c#	
525	mmu-miR-20b#-002524	mmu-miR-20b#	
