ID	Detector	miRNA_ID	SPOT_ID
1	mmu-let-7b-4373168	mmu-let-7b	
2	mmu-let-7c-4373167	mmu-let-7c	
3	mmu-let-7d-4395394	mmu-let-7d	
4	mmu-let-7e-4395517	mmu-let-7e	
5	mmu-let-7g-4395393	mmu-let-7g	
6	mmu-let-7i-4395332	mmu-let-7i	
7	mmu-miR-1-4395333	mmu-miR-1	
8	rno-miR-1-4395765	rno-miR-1	
9	mmu-miR-7a-4378130	mmu-miR-7a	
10	mmu-miR-7b-4395685	mmu-miR-7b	
11	MammU6-4395470		MammU6
12	MammU6-4395470		MammU6
13	mmu-miR-9-4373285	mmu-miR-9	
14	mmu-miR-10a-4373153	mmu-miR-10a	
15	mmu-miR-10b-4395329	mmu-miR-10b	
16	mmu-miR-15a-4373123	mmu-miR-15a	
17	mmu-miR-15b-4373122	mmu-miR-15b	
18	mmu-miR-16-4373121	mmu-miR-16	
19	rno-miR-17-3p-4395779	rno-miR-17-3p	
20	mmu-miR-18a-4395533	mmu-miR-18a	
21	mmu-miR-18b-4395596	mmu-miR-18b	
22	mmu-miR-19a-4373099	mmu-miR-19a	
23	mmu-miR-19b-4373098	mmu-miR-19b	
24	mmu-miR-20a-4373286	mmu-miR-20a	
25	mmu-miR-20b-4373263	mmu-miR-20b	
26	rno-miR-20b-3p-4395753	rno-miR-20b-3p	
27	mmu-miR-21-4373090	mmu-miR-21	
28	mmu-miR-23b-4373073	mmu-miR-23b	
29	mmu-miR-24-4373072	mmu-miR-24	
30	mmu-miR-25-4373071	mmu-miR-25	
31	mmu-miR-26a-4395166	mmu-miR-26a	
32	mmu-miR-26b-4395167	mmu-miR-26b	
33	mmu-miR-27a-4373287	mmu-miR-27a	
34	mmu-miR-27b-4373068	mmu-miR-27b	
35	MammU6-4395470		MammU6
36	MammU6-4395470		MammU6
37	mmu-miR-28-4373067	mmu-miR-28	
38	mmu-miR-29b-4373288	mmu-miR-29b	
39	mmu-miR-29c-4395171	mmu-miR-29c	
40	mmu-miR-30b-4373290	mmu-miR-30b	
41	mmu-miR-30c-4373060	mmu-miR-30c	
42	mmu-miR-30d-4373059	mmu-miR-30d	
43	mmu-miR-32-4395220	mmu-miR-32	
