ID	Detector	miRNA_ID	SPOT_ID
543	hsa-miR-132#-002132	hsa-miR-132#	
544	hsa-miR-148a#-002134	hsa-miR-148a#	
545	hsa-miR-33a-002135	hsa-miR-33a	
546	hsa-miR-33a#-002136	hsa-miR-33a#	
547	hsa-miR-92a-1#-002137	hsa-miR-92a-1#	
548	hsa-miR-92a-2#-002138	hsa-miR-92a-2#	
549	hsa-miR-93#-002139	hsa-miR-93#	
550	hsa-miR-96#-002140	hsa-miR-96#	
551	hsa-miR-99a#-002141	hsa-miR-99a#	
552	hsa-miR-100#-002142	hsa-miR-100#	
553	hsa-miR-101#-002143	hsa-miR-101#	
554	hsa-miR-138-2#-002144	hsa-miR-138-2#	
555	hsa-miR-141#-002145	hsa-miR-141#	
556	hsa-miR-143#-002146	hsa-miR-143#	
557	hsa-miR-144#-002148	hsa-miR-144#	
558	hsa-miR-145#-002149	hsa-miR-145#	
559	hsa-miR-920-002150	hsa-miR-920	
560	hsa-miR-921-002151	hsa-miR-921	
561	hsa-miR-922-002152	hsa-miR-922	
562	hsa-miR-924-002154	hsa-miR-924	
563	hsa-miR-337-3p-002157	hsa-miR-337-3p	
564	hsa-miR-125b-2#-002158	hsa-miR-125b-2#	
565	hsa-miR-135b#-002159	hsa-miR-135b#	
566	hsa-miR-148b#-002160	hsa-miR-148b#	
567	hsa-miR-146a#-002163	hsa-miR-146a#	
568	hsa-miR-149#-002164	hsa-miR-149#	
569	hsa-miR-29b-1#-002165	hsa-miR-29b-1#	
570	hsa-miR-29b-2#-002166	hsa-miR-29b-2#	
571	hsa-miR-105#-002168	hsa-miR-105#	
572	hsa-miR-106a#-002170	hsa-miR-106a#	
573	hsa-miR-16-2#-002171	hsa-miR-16-2#	
574	hsa-let-7i#-002172	hsa-let-7i#	
575	hsa-miR-15b#-002173	hsa-miR-15b#	
576	hsa-miR-27b#-002174	hsa-miR-27b#	
577	hsa-miR-933-002176	hsa-miR-933	
578	hsa-miR-934-002177	hsa-miR-934	
579	hsa-miR-935-002178	hsa-miR-935	
580	hsa-miR-936-002179	hsa-miR-936	
581	hsa-miR-937-002180	hsa-miR-937	
582	hsa-miR-938-002181	hsa-miR-938	
