ID	Detector	miRNA_ID	SPOT_ID
164	hsa-miR-329-4373191	hsa-miR-329	
165	hsa-miR-330-3p-4373047	hsa-miR-330-3p	
166	hsa-miR-330-5p-4395341	hsa-miR-330-5p	
167	hsa-miR-331-3p-4373046	hsa-miR-331-3p	
168	hsa-miR-331-5p-4395344	hsa-miR-331-5p	
169	hsa-miR-335-4373045	hsa-miR-335	
170	hsa-miR-337-5p-4395267	hsa-miR-337-5p	
171	hsa-miR-338-3p-4395363	hsa-miR-338-3p	
172	hsa-miR-339-3p-4395295	hsa-miR-339-3p	
173	hsa-miR-339-5p-4395368	hsa-miR-339-5p	
174	hsa-miR-340-4395369	hsa-miR-340	
175	has-miR-155-4395459	has-miR-155	
176	hsa-let-7b-4395446	hsa-let-7b	
177	hsa-miR-342-3p-4395371	hsa-miR-342-3p	
178	hsa-miR-342-5p-4395258	hsa-miR-342-5p	
179	hsa-miR-345-4395297	hsa-miR-345	
180	hsa-miR-361-5p-4373035	hsa-miR-361-5p	
181	hsa-miR-362-3p-4395228	hsa-miR-362-3p	
182	hsa-miR-362-5p-4378092	hsa-miR-362-5p	
183	hsa-miR-363-4378090	hsa-miR-363	
184	hsa-miR-365-4373194	hsa-miR-365	
185	hsa-miR-367-4373034	hsa-miR-367	
186	hsa-miR-369-3p-4373032	hsa-miR-369-3p	
187	hsa-miR-369-5p-4373195	hsa-miR-369-5p	
188	hsa-miR-370-4395386	hsa-miR-370	
189	hsa-miR-371-3p-4395235	hsa-miR-371-3p	
190	hsa-miR-372-4373029	hsa-miR-372	
191	hsa-miR-373-4378073	hsa-miR-373	
192	hsa-miR-374a-4373028	hsa-miR-374a	
193	hsa-miR-374b-4381045	hsa-miR-374b	
194	hsa-miR-375-4373027	hsa-miR-375	
195	hsa-miR-376a-4373026	hsa-miR-376a	
196	hsa-miR-376b-4373196	hsa-miR-376b	
197	hsa-miR-377-4373025	hsa-miR-377	
198	hsa-miR-379-4373349	hsa-miR-379	
199	hsa-miR-380-4373022	hsa-miR-380	
200	hsa-miR-381-4373020	hsa-miR-381	
201	hsa-miR-382-4373019	hsa-miR-382	
202	hsa-miR-383-4373018	hsa-miR-383	
203	hsa-miR-409-5p-4395442	hsa-miR-409-5p	
204	hsa-miR-410-4378093	hsa-miR-410	
205	hsa-miR-411-4381013	hsa-miR-411	
206	hsa-miR-422a-4395408	hsa-miR-422a	
207	hsa-miR-423-5p-4395451	hsa-miR-423-5p	
208	hsa-miR-424-4373201	hsa-miR-424	
209	hsa-miR-425-4380926	hsa-miR-425	
210	hsa-miR-429-4373203	hsa-miR-429	
211	hsa-miR-431-4395173	hsa-miR-431	
212	hsa-miR-433-4373205	hsa-miR-433	
213	hsa-miR-449a-4373207	hsa-miR-449a	
214	hsa-miR-449b-4381011	hsa-miR-449b	
215	hsa-miR-450a-4395414	hsa-miR-450a	
216	hsa-miR-450b-3p-4395319	hsa-miR-450b-3p	
217	hsa-miR-450b-5p-4395318	hsa-miR-450b-5p	
218	hsa-miR-451-4373360	hsa-miR-451	
219	hsa-miR-452-4395440	hsa-miR-452	
220	hsa-miR-453-4395429	hsa-miR-453	
221	hsa-miR-454-4395434	hsa-miR-454	
222	hsa-miR-455-3p-4395355	hsa-miR-455-3p	
223	hsa-miR-455-5p-4378098	hsa-miR-455-5p	
224	hsa-miR-483-5p-4395449	hsa-miR-483-5p	
225	hsa-miR-484-4381032	hsa-miR-484	
226	hsa-miR-485-3p-4378095	hsa-miR-485-3p	
227	hsa-miR-485-5p-4373212	hsa-miR-485-5p	
228	hsa-miR-486-3p-4395204	hsa-miR-486-3p	
229	hsa-miR-486-5p-4378096	hsa-miR-486-5p	
230	hsa-miR-487a-4378097	hsa-miR-487a	
231	hsa-miR-487b-4378102	hsa-miR-487b	
232	hsa-miR-488-4395468	hsa-miR-488	
233	hsa-miR-489-4395469	hsa-miR-489	
234	hsa-miR-490-3p-4373215	hsa-miR-490-3p	
235	hsa-miR-491-3p-4395471	hsa-miR-491-3p	
236	hsa-miR-491-5p-4381053	hsa-miR-491-5p	
237	hsa-miR-493-4395475	hsa-miR-493	
238	hsa-miR-494-4395476	hsa-miR-494	
239	hsa-miR-495-4381078	hsa-miR-495	
240	hsa-miR-496-4386771	hsa-miR-496	
241	hsa-miR-499-3p-4395538	hsa-miR-499-3p	
242	hsa-miR-499-5p-4381047	hsa-miR-499-5p	
243	hsa-miR-500-4395539	hsa-miR-500	
244	hsa-miR-501-3p-4395546	hsa-miR-501-3p	
245	hsa-miR-501-5p-4373226	hsa-miR-501-5p	
246	hsa-miR-502-3p-4395194	hsa-miR-502-3p	
247	hsa-miR-502-5p-4373227	hsa-miR-502-5p	
248	hsa-miR-503-4373228	hsa-miR-503	
249	hsa-miR-504-4395195	hsa-miR-504	
250	hsa-miR-505-4395200	hsa-miR-505	
251	hsa-miR-507-4373232	hsa-miR-507	
252	hsa-miR-508-3p-4373233	hsa-miR-508-3p	
253	hsa-miR-508-5p-4395203	hsa-miR-508-5p	
254	hsa-miR-509-5p-4395346	hsa-miR-509-5p	
255	hsa-miR-510-4395352	hsa-miR-510	
256	hsa-miR-512-3p-4381034	hsa-miR-512-3p	
257	hsa-miR-512-5p-4373238	hsa-miR-512-5p	
258	hsa-miR-513-5p-4395201	hsa-miR-513-5p	
259	hsa-miR-515-3p-4395480	hsa-miR-515-3p	
260	hsa-miR-515-5p-4373242	hsa-miR-515-5p	
261	hsa-miR-516a-5p-4395527	hsa-miR-516a-5p	
262	hsa-miR-516b-4395172	hsa-miR-516b	
263	hsa-miR-517a-4395513	hsa-miR-517a	
264	hsa-miR-517c-4373264	hsa-miR-517c	
265	hsa-miR-518a-3p-4395508	hsa-miR-518a-3p	
266	hsa-miR-518a-5p-4395507	hsa-miR-518a-5p	
267	hsa-miR-518b-4373246	hsa-miR-518b	
268	hsa-miR-518c-4395512	hsa-miR-518c	
269	hsa-miR-518d-3p-4373248	hsa-miR-518d-3p	
270	hsa-miR-518d-5p-4395500	hsa-miR-518d-5p	
271	hsa-miR-518e-4395506	hsa-miR-518e	
272	hsa-miR-518f-4395499	hsa-miR-518f	
273	hsa-miR-519a-4395526	hsa-miR-519a	
274	hsa-miR-519d-4395514	hsa-miR-519d	
275	hsa-miR-519e-4395481	hsa-miR-519e	
276	hsa-miR-520a-3p-4373268	hsa-miR-520a-3p	
277	hsa-miR-520a-5p-4378085	hsa-miR-520a-5p	
278	hsa-miR-520d-5p-4395504	hsa-miR-520d-5p	
279	hsa-miR-520g-4373257	hsa-miR-520g	
280	hsa-miR-521-4373259	hsa-miR-521	
281	hsa-miR-522-4395524	hsa-miR-522	
282	hsa-miR-523-4395497	hsa-miR-523	
283	hsa-miR-524-5p-4395174	hsa-miR-524-5p	
284	hsa-miR-525-3p-4395496	hsa-miR-525-3p	
285	hsa-miR-525-5p-4378088	hsa-miR-525-5p	
286	hsa-miR-526b-4395493	hsa-miR-526b	
287	hsa-miR-532-3p-4395466	hsa-miR-532-3p	
288	hsa-miR-532-5p-4380928	hsa-miR-532-5p	
289	hsa-miR-539-4378103	hsa-miR-539	
290	hsa-miR-541-4395312	hsa-miR-541	
291	hsa-miR-542-3p-4378101	hsa-miR-542-3p	
292	hsa-miR-542-5p-4395351	hsa-miR-542-5p	
293	hsa-miR-544-4395376	hsa-miR-544	
294	hsa-miR-545-4395378	hsa-miR-545	
295	hsa-miR-548a-3p-4380948	hsa-miR-548a-3p	
296	hsa-miR-548a-5p-4395523	hsa-miR-548a-5p	
297	hsa-miR-548b-3p-4380951	hsa-miR-548b-3p	
298	hsa-miR-548b-5p-4395519	hsa-miR-548b-5p	
299	hsa-miR-548c-3p-4380993	hsa-miR-548c-3p	
300	hsa-miR-548c-5p-4395540	hsa-miR-548c-5p	
301	hsa-miR-548d-3p-4381008	hsa-miR-548d-3p	
302	hsa-miR-548d-5p-4395348	hsa-miR-548d-5p	
303	hsa-miR-551b-4380945	hsa-miR-551b	
304	hsa-miR-556-3p-4395456	hsa-miR-556-3p	
305	hsa-miR-556-5p-4395455	hsa-miR-556-5p	
306	hsa-miR-561-4380938	hsa-miR-561	
307	hsa-miR-570-4395458	hsa-miR-570	
308	hsa-miR-574-3p-4395460	hsa-miR-574-3p	
309	hsa-miR-576-3p-4395462	hsa-miR-576-3p	
310	hsa-miR-576-5p-4395461	hsa-miR-576-5p	
311	hsa-miR-579-4395509	hsa-miR-579	
312	hsa-miR-582-3p-4395510	hsa-miR-582-3p	
313	hsa-miR-582-5p-4395175	hsa-miR-582-5p	
314	hsa-miR-589-4395520	hsa-miR-589	
315	hsa-miR-590-5p-4395176	hsa-miR-590-5p	
316	hsa-miR-597-4380960	hsa-miR-597	
317	hsa-miR-598-4395179	hsa-miR-598	
318	hsa-miR-615-3p-4386777	hsa-miR-615-3p	
319	hsa-miR-615-5p-4395464	hsa-miR-615-5p	
320	hsa-miR-616-4395525	hsa-miR-616	
321	hsa-miR-618-4380996	hsa-miR-618	
322	hsa-miR-624-4395541	hsa-miR-624	
323	hsa-miR-625-4395542	hsa-miR-625	
324	hsa-miR-627-4380967	hsa-miR-627	
325	hsa-miR-628-5p-4395544	hsa-miR-628-5p	
326	hsa-miR-629-4395547	hsa-miR-629	
327	hsa-miR-636-4395199	hsa-miR-636	
328	hsa-miR-642-4380995	hsa-miR-642	
329	hsa-miR-651-4381007	hsa-miR-651	
330	hsa-miR-652-4395463	hsa-miR-652	
331	hsa-miR-653-4395403	hsa-miR-653	
332	hsa-miR-654-3p-4395350	hsa-miR-654-3p	
333	hsa-miR-654-5p-4381014	hsa-miR-654-5p	
334	hsa-miR-655-4381015	hsa-miR-655	
335	hsa-miR-660-4380925	hsa-miR-660	
336	hsa-miR-671-3p-4395433	hsa-miR-671-3p	
337	hsa-miR-672-4395438	hsa-miR-672	
338	hsa-miR-674-4395193	hsa-miR-674	
339	hsa-miR-708-4395452	hsa-miR-708	
340	hsa-miR-744-4395435	hsa-miR-744	
341	hsa-miR-758-4395180	hsa-miR-758	
342	hsa-miR-871-4395465	hsa-miR-871	
343	hsa-miR-872-4395375	hsa-miR-872	
344	hsa-miR-873-4395467	hsa-miR-873	
345	hsa-miR-874-4395379	hsa-miR-874	
346	hsa-miR-875-3p-4395315	hsa-miR-875-3p	
347	hsa-miR-876-3p-4395336	hsa-miR-876-3p	
348	hsa-miR-876-5p-4395316	hsa-miR-876-5p	
349	hsa-miR-885-3p-4395483	hsa-miR-885-3p	
350	hsa-miR-885-5p-4395407	hsa-miR-885-5p	
351	hsa-miR-886-3p-4395305	hsa-miR-886-3p	
352	hsa-miR-886-5p-4395304	hsa-miR-886-5p	
353	hsa-miR-887-4395485	hsa-miR-887	
354	hsa-miR-888-4395323	hsa-miR-888	
355	hsa-miR-889-4395313	hsa-miR-889	
356	hsa-miR-890-4395320	hsa-miR-890	
357	hsa-miR-891a-4395302	hsa-miR-891a	
358	hsa-miR-891b-4395321	hsa-miR-891b	
359	hsa-miR-892a-4395306	hsa-miR-892a	
360	hsa-miR-147-4373131	hsa-miR-147	
361	hsa-miR-208-4373091	hsa-miR-208	
362	hsa-miR-211-4373088	hsa-miR-211	
363	hsa-miR-212-4373087	hsa-miR-212	
364	hsa-miR-219-1-3p-4395206	hsa-miR-219-1-3p	
365	hsa-miR-219-2-3p-4395501	hsa-miR-219-2-3p	
366	hsa-miR-220-4373078	hsa-miR-220	
367	hsa-miR-220b-4395317	hsa-miR-220b	
368	hsa-miR-220c-4395322	hsa-miR-220c	
369	hsa-miR-298-4395301	hsa-miR-298	
370	hsa-miR-325-4373051	hsa-miR-325	
371	hsa-miR-346-4373038	hsa-miR-346	
372	hsa-miR-376c-4395233	hsa-miR-376c	
373	hsa-miR-384-4373017	hsa-miR-384	
374	hsa-miR-412-4373199	hsa-miR-412	
375	hsa-miR-448-4373206	hsa-miR-448	
376	hsa-miR-492-4373217	hsa-miR-492	
377	hsa-miR-506-4373231	hsa-miR-506	
378	hsa-miR-509-3-5p-4395266	hsa-miR-509-3-5p	
379	hsa-miR-511-4373236	hsa-miR-511	
380	hsa-miR-517b-4373244	hsa-miR-517b	
381	hsa-miR-519c-3p-4373251	hsa-miR-519c-3p	
382	hsa-miR-520b-4373252	hsa-miR-520b	
383	hsa-miR-520e-4373255	hsa-miR-520e	
384	hsa-miR-520f-4373256	hsa-miR-520f	
385	dme-miR-7-000268	dme-miR-7	
386	hsa-miR-548I-002909	hsa-miR-548I	
387	hsa-miR-30a-3p-000416	hsa-miR-30a-3p	
388	hsa-miR-30a-5p-000417	hsa-miR-30a-5p	
389	hsa-miR-30d-000420	hsa-miR-30d	
390	hsa-miR-30e-3p-000422	hsa-miR-30e-3p	
391	hsa-miR-34b-000427	hsa-miR-34b	
392	hsa-miR-126#-000451	hsa-miR-126#	
393	hsa-miR-154#-000478	hsa-miR-154#	
394	hsa-miR-182#-000483	hsa-miR-182#	
395	U6 snRNA-001973		U6 snRNA
396	U6 snRNA-001973		U6 snRNA
397	hsa-miR-206-000510	hsa-miR-206	
398	hsa-miR-213-000516	hsa-miR-213	
399	hsa-miR-302c#-000534	hsa-miR-302c#	
400	hsa-miR-302d-000535	hsa-miR-302d	
401	hsa-miR-378-000567	hsa-miR-378	
402	hsa-miR-380-5p-000570	hsa-miR-380-5p	
403	hsa-miR-1257-002910	hsa-miR-1257	
404	hsa-miR-200a#-001011	hsa-miR-200a#	
405	hsa-miR-432-001026	hsa-miR-432	
406	hsa-miR-432#-001027	hsa-miR-432#	
407	hsa-miR-497-001043	hsa-miR-497	
408	hsa-miR-500-001046	hsa-miR-500	
409	hsa-miR-1238-002927	hsa-miR-1238	
410	hsa-miR-488-001106	hsa-miR-488	
411	hsa-miR-517#-001113	hsa-miR-517#	
412	hsa-miR-516-3p-001149	hsa-miR-516-3p	
413	hsa-miR-518c#-001158	hsa-miR-518c#	
414	hsa-miR-519e#-001166	hsa-miR-519e#	
415	hsa-miR-520h-001170	hsa-miR-520h	
