ID_REF	miRNA_ID	SN_ID	Organism
472	rno-miR-664		Mus musculus
473	rno-miR-20b		Mus musculus
474	rno-miR-20a#		Mus musculus
475	rno-miR-350		Mus musculus
476	rno-miR-489		Mus musculus
477	rno-miR-382#		Mus musculus
478	rno-miR-29c#		Mus musculus
479	hsa-miR-26b#		Mus musculus
480	hsa-miR-27a#		Mus musculus
481	hsa-miR-28-3p		Mus musculus
482	hsa-miR-29a#		Mus musculus
483	mmu-miR-488#		Mus musculus
484	mmu-miR-758		Mus musculus
485	mmu-miR-762		Mus musculus
486	mmu-miR-761		Mus musculus
487	mmu-miR-764-3p		Mus musculus
488	mmu-miR-763		Mus musculus
489	mmu-miR-759		Mus musculus
490	mmu-miR-693-3p		Mus musculus
491	hsa-miR-23a#		Mus musculus
492	mmu-miR-374#		Mus musculus
493	mmu-miR-804		Mus musculus
494	mmu-miR-805		Mus musculus
495	mmu-miR-666-3p		Mus musculus
496	mmu-miR-673-3p		Mus musculus
497	mmu-miR-376b#		Mus musculus
498	mmu-miR-146b#		Mus musculus
499	mmu-miR-742#		Mus musculus
500	mmu-miR-130b#		Mus musculus
501	mmu-miR-879#		Mus musculus
502	mmu-miR-881#		Mus musculus
503	mmu-miR-196a#		Mus musculus
504	mmu-let-7a#		Mus musculus
505	mmu-let-7c-1#		Mus musculus
506	mmu-miR-327		Mus musculus
507	mmu-miR-376a#		Mus musculus
508	mmu-miR-343		Mus musculus
509	mmu-miR-16#		Mus musculus
510	mmu-miR-18a#		Mus musculus
511	mmu-miR-20a#		Mus musculus
512	mmu-miR-24-2#		Mus musculus
513	mmu-miR-31#		Mus musculus
514	mmu-miR-92a#		Mus musculus
515			Mus musculus
516	mmu-miR-29b#		Mus musculus
517	mmu-miR-30b#		Mus musculus
518	mmu-miR-322#		Mus musculus
519	mmu-miR-101a#		Mus musculus
520	mmu-miR-125b#		Mus musculus
521	mmu-miR-136#		Mus musculus
522	mmu-miR-141#		Mus musculus
523	mmu-miR-145#		Mus musculus
524	mmu-miR-376c#		Mus musculus
525	mmu-miR-20b#		Mus musculus
526	mmu-miR-450a-3p		Mus musculus
527	mmu-miR-101b		Mus musculus
528	mmu-miR-291b-3p		Mus musculus
529	mmu-miR-878-3p		Mus musculus
530	mmu-miR-872#		Mus musculus
531	mmu-miR-17#		Mus musculus
532	mmu-miR-19a#		Mus musculus
533	mmu-miR-28#		Mus musculus
534	mmu-miR-877#		Mus musculus
535	mmu-miR-212		Mus musculus
536	mmu-miR-138#		Mus musculus
537	mmu-miR-302c#		Mus musculus
538	mmu-miR-483#		Mus musculus
539	mmu-miR-541		Mus musculus
540	mmu-miR-467e#		Mus musculus
541	mmu-miR-10b#		Mus musculus
542	mmu-miR-186#		Mus musculus
543	mmu-miR-412		Mus musculus
544	mmu-miR-191#		Mus musculus
545	mmu-miR-193#		Mus musculus
546	mmu-miR-203#		Mus musculus
547	mmu-miR-463#		Mus musculus
548	mmu-miR-34c#		Mus musculus
549	mmu-miR-466a-3p		Mus musculus
550	mmu-miR-470#		Mus musculus
551	mmu-miR-290-5p		Mus musculus
552	mmu-miR-293#		Mus musculus
553	hsa-miR-455		Mus musculus
554	hsa-miR-493-3p		Mus musculus
555	hsa-miR-376a#		Mus musculus
556	mmu-let-7d#		Mus musculus
557	mmu-miR-543		Mus musculus
558	mmu-miR-487b		Mus musculus
559	mmu-miR-1933-5p		Mus musculus
560	mmu-miR-449b		Mus musculus
561	mmu-miR-719		Mus musculus
562	mmu-miR-688		Mus musculus
563			Mus musculus
564	mmu-miR-467a		Mus musculus
565	mmu-miR-485-3p		Mus musculus
566	mmu-miR-673		Mus musculus
567	mmu-miR-674#		Mus musculus
568	mmu-miR-676#		Mus musculus
569	mmu-miR-712#		Mus musculus
570	hsa-miR-190b		Mus musculus
571	hsa-miR-183#		Mus musculus
572	hsa-miR-200c#		Mus musculus
573	hsa-miR-10a#		Mus musculus
574	hsa-miR-214#		Mus musculus
575	hsa-miR-218-2#		Mus musculus
576	hsa-miR-22#		Mus musculus
577	hsa-miR-30d#		Mus musculus
578	hsa-miR-431#		Mus musculus
579	hsa-miR-744#		Mus musculus
580	hsa-miR-708#		Mus musculus
581	hsa-miR-106b#		Mus musculus
582	hsa-let-7b#		Mus musculus
583	hsa-let-7e#		Mus musculus
584	mmu-miR-450B-3P		Mus musculus
585	mmu-miR-712		Mus musculus
586	mmu-miR-465C-5P		Mus musculus
587	mmu-miR-463		Mus musculus
588	mmu-miR-880		Mus musculus
589	mmu-miR-883B-5P		Mus musculus
590	mmu-miR-181A-2#		Mus musculus
591	mmu-miR-466E-5P		Mus musculus
592	mmu-miR-669E		Mus musculus
593	mmu-miR-1198		Mus musculus
594	mmu-miR-1193		Mus musculus
595	mmu-miR-1192		Mus musculus
596	mmu-miR-669D		Mus musculus
597	mmu-miR-467H		Mus musculus
598	mmu-miR-466J		Mus musculus
599	mmu-miR-1195		Mus musculus
600	mmu-miR-1188		Mus musculus
601	mmu-miR-1-2-AS		Mus musculus
602	mmu-miR-467F		Mus musculus
603	mmu-miR-669H-5P		Mus musculus
604	rno-miR-880		Mus musculus
605	rno-miR-409-3P		Mus musculus
606	rno-miR-146B		Mus musculus
607	hsa-miR-423-3P		Mus musculus
608	hsa-miR-151-5P		Mus musculus
609	hsa-miR-338-5P		Mus musculus
610	hsa-miR-590-3P		Mus musculus
611			Mus musculus
612	hsa-miR-421		Mus musculus
613	hsa-miR-1197		Mus musculus
614	mmu-miR-471		Mus musculus
615	mmu-miR-770-5p		Mus musculus
616	mmu-miR-882		Mus musculus
617	mmu-miR-299		Mus musculus
618	mmu-miR-300#		Mus musculus
619	mmu-miR-362-5p		Mus musculus
620	mmu-miR-34b-5p		Mus musculus
621	rno-miR-743a		Mus musculus
622	rno-miR-148b-5p		Mus musculus
623	rno-miR-7a#		Mus musculus
624	rno-miR-99a#		Mus musculus
625	rno-miR-125b#		Mus musculus
626	rno-miR-135a#		Mus musculus
627	rno-miR-204#		Mus musculus
628	rno-miR-24-1#		Mus musculus
629	rno-miR-25#		Mus musculus
630	rno-miR-29b-1#		Mus musculus
631	hsa-miR-189		Mus musculus
632	rno-miR-666		Mus musculus
633	rno-miR-547		Mus musculus
634	mmu-miR-2138		Mus musculus
635	mmu-miR-767		Mus musculus
636	mmu-miR-2146		Mus musculus
637	rno-miR-105		Mus musculus
638	rno-miR-294		Mus musculus
639	mmu-miR-2183		Mus musculus
640	rno-miR-220		Mus musculus
641	rno-miR-293		Mus musculus
642	rno-miR-632		Mus musculus
643	mmu-miR-599		Mus musculus
644	mmu-miR-2182		Mus musculus
645	mmu-miR-2134		Mus musculus
646	rno-miR-653		Mus musculus
647	mmu-miR-2139		Mus musculus
648	rno-miR-465		Mus musculus
649	mmu-miR-2136		Mus musculus
650	mmu-miR-432		Mus musculus
651	rno-miR-711		Mus musculus
652	rno-miR-876		Mus musculus
653	mmu-miR-2135		Mus musculus
654	hsa-miR-671-5p		Mus musculus
655	hsa-miR-144		Mus musculus
656	mmu-miR-15a#		Mus musculus
657	mmu-miR-503#		Mus musculus
658	mmu-miR-218-1#		Mus musculus
659	ath-miR159a		Mus musculus
660	mmu-miR-150#		Mus musculus
661	rno-miR-1#		Mus musculus
662	hsa-miR-200b#		Mus musculus
663	hsa-miR-653		Mus musculus
664	mmu-miR-1191		Mus musculus
665	rno-miR-379#		Mus musculus
666	mmu-miR-1904		Mus musculus
667	mmu-miR-1941-3p		Mus musculus
668	mmu-miR-297a#		Mus musculus
669	mmu-miR-1957		Mus musculus
670	mmu-miR-704		Mus musculus
671	mmu-miR-1274a		Mus musculus
672	mmu-miR-1306		Mus musculus
673	mmu-miR-1839-3p		Mus musculus
674	mmu-miR-1839-5p		Mus musculus
675	mmu-miR-1893		Mus musculus
676	mmu-miR-1896		Mus musculus
677	mmu-miR-1897-3p		Mus musculus
678	mmu-miR-1897-5p		Mus musculus
679	mmu-miR-1898		Mus musculus
680	mmu-miR-1899		Mus musculus
681	mmu-miR-1900		Mus musculus
682	mmu-miR-1901		Mus musculus
683	mmu-miR-1902		Mus musculus
684	mmu-miR-1903		Mus musculus
685	mmu-miR-1905		Mus musculus
686	mmu-miR-1927		Mus musculus
687	mmu-miR-1928		Mus musculus
688	mmu-miR-1930		Mus musculus
689	mmu-miR-1931		Mus musculus
690	mmu-miR-1932		Mus musculus
691	mmu-miR-1933-3p		Mus musculus
692	mmu-miR-1934		Mus musculus
693	mmu-miR-1935		Mus musculus
694	mmu-miR-1936		Mus musculus
695	mmu-miR-1938		Mus musculus
696	mmu-miR-1939		Mus musculus
697	mmu-miR-1940		Mus musculus
698	mmu-miR-1941-5p		Mus musculus
699	mmu-miR-1942		Mus musculus
700	mmu-miR-1944		Mus musculus
701	mmu-miR-1945		Mus musculus
702	mmu-miR-1947		Mus musculus
703	mmu-miR-1948		Mus musculus
704	mmu-miR-1950		Mus musculus
705	mmu-miR-1951		Mus musculus
706	mmu-miR-1952		Mus musculus
707	mmu-miR-1953		Mus musculus
708	mmu-miR-1954		Mus musculus
709	mmu-miR-1958		Mus musculus
710	mmu-miR-1959		Mus musculus
711	mmu-miR-1960		Mus musculus
712	mmu-miR-1962		Mus musculus
713	mmu-miR-1963		Mus musculus
714	mmu-miR-1964		Mus musculus
715	mmu-miR-1965		Mus musculus
716	mmu-miR-1966		Mus musculus
717	mmu-miR-1967		Mus musculus
718	mmu-miR-1968		Mus musculus
719	mmu-miR-1969		Mus musculus
720	mmu-miR-1970		Mus musculus
721	mmu-miR-1971		Mus musculus
722	mmu-miR-1981		Mus musculus
723	mmu-miR-1982.1		Mus musculus
724	mmu-miR-1982.2		Mus musculus
725	mmu-miR-669l		Mus musculus
726	mmu-miR-669m		Mus musculus
727	mmu-miR-669o		Mus musculus
728	mmu-let-7g#		Mus musculus
729	mmu-miR-466d-5p		Mus musculus
730	hsa-let-7f-1#		Mus musculus
731	mmu-miR-669C		Mus musculus
732	mmu-miR-1186		Mus musculus
733	rno-miR-551B		Mus musculus
734	mmu-miR-302a#		Mus musculus
735	hsa-miR-154#		Mus musculus
736	mmu-miR-1894-5p		Mus musculus
737	mmu-miR-669n		Mus musculus
