ID_REF	MIRNA_ID	SN_ID	PLT_NAME	ORGANISM
268	hsa-miR-518c		GPL15467	Homo Sapiens
269	hsa-miR-518d-3p		GPL15467	Homo Sapiens
270	hsa-miR-518d-5p		GPL15467	Homo Sapiens
271	hsa-miR-518e		GPL15467	Homo Sapiens
272	hsa-miR-518f		GPL15467	Homo Sapiens
273	hsa-miR-519a		GPL15467	Homo Sapiens
274	hsa-miR-519d		GPL15467	Homo Sapiens
275	hsa-miR-519e		GPL15467	Homo Sapiens
276	hsa-miR-520a-3p		GPL15467	Homo Sapiens
277	hsa-miR-520a-5p		GPL15467	Homo Sapiens
278	hsa-miR-520d-5p		GPL15467	Homo Sapiens
279	hsa-miR-520g		GPL15467	Homo Sapiens
280	hsa-miR-521		GPL15467	Homo Sapiens
281	hsa-miR-522		GPL15467	Homo Sapiens
282	hsa-miR-523		GPL15467	Homo Sapiens
283	hsa-miR-524-5p		GPL15467	Homo Sapiens
284	hsa-miR-525-3p		GPL15467	Homo Sapiens
285	hsa-miR-525-5p		GPL15467	Homo Sapiens
286	hsa-miR-526b		GPL15467	Homo Sapiens
287	hsa-miR-532-3p		GPL15467	Homo Sapiens
288	hsa-miR-532-5p		GPL15467	Homo Sapiens
289	hsa-miR-539		GPL15467	Homo Sapiens
290	hsa-miR-541		GPL15467	Homo Sapiens
291	hsa-miR-542-3p		GPL15467	Homo Sapiens
292	hsa-miR-542-5p		GPL15467	Homo Sapiens
293	hsa-miR-544		GPL15467	Homo Sapiens
294	hsa-miR-545		GPL15467	Homo Sapiens
295	hsa-miR-548a-3p		GPL15467	Homo Sapiens
296	hsa-miR-548a-5p		GPL15467	Homo Sapiens
297	hsa-miR-548b-3p		GPL15467	Homo Sapiens
298	hsa-miR-548b-5p		GPL15467	Homo Sapiens
299	hsa-miR-548c-3p		GPL15467	Homo Sapiens
300	hsa-miR-548c-5p		GPL15467	Homo Sapiens
301	hsa-miR-548d-3p		GPL15467	Homo Sapiens
302	hsa-miR-548d-5p		GPL15467	Homo Sapiens
303	hsa-miR-551b		GPL15467	Homo Sapiens
304	hsa-miR-556-3p		GPL15467	Homo Sapiens
305	hsa-miR-556-5p		GPL15467	Homo Sapiens
306	hsa-miR-561		GPL15467	Homo Sapiens
307	hsa-miR-570		GPL15467	Homo Sapiens
308	hsa-miR-574-3p		GPL15467	Homo Sapiens
309	hsa-miR-576-3p		GPL15467	Homo Sapiens
310	hsa-miR-576-5p		GPL15467	Homo Sapiens
311	hsa-miR-579		GPL15467	Homo Sapiens
312	hsa-miR-582-3p		GPL15467	Homo Sapiens
313	hsa-miR-582-5p		GPL15467	Homo Sapiens
314	hsa-miR-589		GPL15467	Homo Sapiens
315	hsa-miR-590-5p		GPL15467	Homo Sapiens
316	hsa-miR-597		GPL15467	Homo Sapiens
317	hsa-miR-598		GPL15467	Homo Sapiens
318	hsa-miR-615-3p		GPL15467	Homo Sapiens
319	hsa-miR-615-5p		GPL15467	Homo Sapiens
320	hsa-miR-616		GPL15467	Homo Sapiens
321	hsa-miR-618		GPL15467	Homo Sapiens
322	hsa-miR-624		GPL15467	Homo Sapiens
323	hsa-miR-625		GPL15467	Homo Sapiens
324	hsa-miR-627		GPL15467	Homo Sapiens
325	hsa-miR-628-5p		GPL15467	Homo Sapiens
326	hsa-miR-629		GPL15467	Homo Sapiens
327	hsa-miR-636		GPL15467	Homo Sapiens
328	hsa-miR-642		GPL15467	Homo Sapiens
329	hsa-miR-651		GPL15467	Homo Sapiens
330	hsa-miR-652		GPL15467	Homo Sapiens
331	hsa-miR-653		GPL15467	Homo Sapiens
332	hsa-miR-654-3p		GPL15467	Homo Sapiens
333	hsa-miR-654-5p		GPL15467	Homo Sapiens
334	hsa-miR-655		GPL15467	Homo Sapiens
335	hsa-miR-660		GPL15467	Homo Sapiens
336	hsa-miR-671-3p		GPL15467	Homo Sapiens
337	hsa-miR-672		GPL15467	Homo Sapiens
338	hsa-miR-674		GPL15467	Homo Sapiens
339	hsa-miR-708		GPL15467	Homo Sapiens
340	hsa-miR-744		GPL15467	Homo Sapiens
341	hsa-miR-758		GPL15467	Homo Sapiens
342	hsa-miR-871		GPL15467	Homo Sapiens
343	hsa-miR-872		GPL15467	Homo Sapiens
344	hsa-miR-873		GPL15467	Homo Sapiens
345	hsa-miR-874		GPL15467	Homo Sapiens
346	hsa-miR-875-3p		GPL15467	Homo Sapiens
347	hsa-miR-876-3p		GPL15467	Homo Sapiens
348	hsa-miR-876-5p		GPL15467	Homo Sapiens
349	hsa-miR-885-3p		GPL15467	Homo Sapiens
350	hsa-miR-885-5p		GPL15467	Homo Sapiens
351	hsa-miR-886-3p		GPL15467	Homo Sapiens
352	hsa-miR-886-5p		GPL15467	Homo Sapiens
353	hsa-miR-887		GPL15467	Homo Sapiens
354	hsa-miR-888		GPL15467	Homo Sapiens
355	hsa-miR-889		GPL15467	Homo Sapiens
356	hsa-miR-890		GPL15467	Homo Sapiens
357	hsa-miR-891a		GPL15467	Homo Sapiens
358	hsa-miR-891b		GPL15467	Homo Sapiens
359	hsa-miR-892a		GPL15467	Homo Sapiens
360	hsa-miR-147		GPL15467	Homo Sapiens
361	hsa-miR-208		GPL15467	Homo Sapiens
362	hsa-miR-211		GPL15467	Homo Sapiens
363	hsa-miR-212		GPL15467	Homo Sapiens
364	hsa-miR-219-1-3p		GPL15467	Homo Sapiens
365	hsa-miR-219-2-3p		GPL15467	Homo Sapiens
366	hsa-miR-220		GPL15467	Homo Sapiens
367	hsa-miR-220b		GPL15467	Homo Sapiens
368	hsa-miR-220c		GPL15467	Homo Sapiens
369	hsa-miR-298		GPL15467	Homo Sapiens
370	hsa-miR-325		GPL15467	Homo Sapiens
371	hsa-miR-346		GPL15467	Homo Sapiens
372	hsa-miR-376c		GPL15467	Homo Sapiens
373	hsa-miR-384		GPL15467	Homo Sapiens
374	hsa-miR-412		GPL15467	Homo Sapiens
375	hsa-miR-448		GPL15467	Homo Sapiens
376	hsa-miR-492		GPL15467	Homo Sapiens
377	hsa-miR-506		GPL15467	Homo Sapiens
378	hsa-miR-509-3-5p		GPL15467	Homo Sapiens
379	hsa-miR-511		GPL15467	Homo Sapiens
380	hsa-miR-517b		GPL15467	Homo Sapiens
381	hsa-miR-519c-3p		GPL15467	Homo Sapiens
382	hsa-miR-520b		GPL15467	Homo Sapiens
383	hsa-miR-520e		GPL15467	Homo Sapiens
384	hsa-miR-520f		GPL15467	Homo Sapiens
385	dme-miR-7		GPL15467	Homo Sapiens
386	hsa-miR-548I		GPL15467	Homo Sapiens
387	hsa-miR-30a-3p		GPL15467	Homo Sapiens
388	hsa-miR-30a-5p		GPL15467	Homo Sapiens
389	hsa-miR-30d		GPL15467	Homo Sapiens
390	hsa-miR-30e-3p		GPL15467	Homo Sapiens
391	hsa-miR-34b		GPL15467	Homo Sapiens
392	hsa-miR-126#		GPL15467	Homo Sapiens
393	hsa-miR-154#		GPL15467	Homo Sapiens
394	hsa-miR-182#		GPL15467	Homo Sapiens
395			GPL15467	Homo Sapiens
396			GPL15467	Homo Sapiens
397	hsa-miR-206		GPL15467	Homo Sapiens
398	hsa-miR-213		GPL15467	Homo Sapiens
399	hsa-miR-302c#		GPL15467	Homo Sapiens
400	hsa-miR-302d		GPL15467	Homo Sapiens
401	hsa-miR-378		GPL15467	Homo Sapiens
402	hsa-miR-380-5p		GPL15467	Homo Sapiens
403	hsa-miR-1257		GPL15467	Homo Sapiens
404	hsa-miR-200a#		GPL15467	Homo Sapiens
405	hsa-miR-432		GPL15467	Homo Sapiens
406	hsa-miR-432#		GPL15467	Homo Sapiens
407	hsa-miR-497		GPL15467	Homo Sapiens
408	hsa-miR-500		GPL15467	Homo Sapiens
409	hsa-miR-1238		GPL15467	Homo Sapiens
410	hsa-miR-488		GPL15467	Homo Sapiens
411	hsa-miR-517#		GPL15467	Homo Sapiens
412	hsa-miR-516-3p		GPL15467	Homo Sapiens
413	hsa-miR-518c#		GPL15467	Homo Sapiens
414	hsa-miR-519e#		GPL15467	Homo Sapiens
415	hsa-miR-520h		GPL15467	Homo Sapiens
416	hsa-miR-524		GPL15467	Homo Sapiens
417	mmu-let-7d#		GPL15467	Homo Sapiens
418	hsa-miR-363#		GPL15467	Homo Sapiens
419			GPL15467	Homo Sapiens
420			GPL15467	Homo Sapiens
421	rno-miR-7#		GPL15467	Homo Sapiens
422	hsa-miR-656		GPL15467	Homo Sapiens
423	hsa-miR-549		GPL15467	Homo Sapiens
424	hsa-miR-657		GPL15467	Homo Sapiens
425	hsa-miR-658		GPL15467	Homo Sapiens
426	hsa-miR-659		GPL15467	Homo Sapiens
427	hsa-miR-551a		GPL15467	Homo Sapiens
428	hsa-miR-552		GPL15467	Homo Sapiens
429	hsa-miR-553		GPL15467	Homo Sapiens
430	hsa-miR-554		GPL15467	Homo Sapiens
431	hsa-miR-555		GPL15467	Homo Sapiens
432	hsa-miR-557		GPL15467	Homo Sapiens
433	hsa-miR-558		GPL15467	Homo Sapiens
434	hsa-miR-559		GPL15467	Homo Sapiens
435	hsa-miR-562		GPL15467	Homo Sapiens
436	hsa-miR-563		GPL15467	Homo Sapiens
437	hsa-miR-564		GPL15467	Homo Sapiens
438	hsa-miR-566		GPL15467	Homo Sapiens
439	hsa-miR-567		GPL15467	Homo Sapiens
440	hsa-miR-569		GPL15467	Homo Sapiens
441	hsa-miR-586		GPL15467	Homo Sapiens
442	hsa-miR-587		GPL15467	Homo Sapiens
443			GPL15467	Homo Sapiens
444	hsa-miR-588		GPL15467	Homo Sapiens
445	hsa-miR-589		GPL15467	Homo Sapiens
446	hsa-miR-550		GPL15467	Homo Sapiens
447	hsa-miR-591		GPL15467	Homo Sapiens
448	hsa-miR-592		GPL15467	Homo Sapiens
449	hsa-miR-593		GPL15467	Homo Sapiens
450	hsa-miR-596		GPL15467	Homo Sapiens
451	hsa-miR-622		GPL15467	Homo Sapiens
452	hsa-miR-599		GPL15467	Homo Sapiens
453	hsa-miR-623		GPL15467	Homo Sapiens
454	hsa-miR-600		GPL15467	Homo Sapiens
455	hsa-miR-624		GPL15467	Homo Sapiens
456	hsa-miR-601		GPL15467	Homo Sapiens
457	hsa-miR-626		GPL15467	Homo Sapiens
458	hsa-miR-629		GPL15467	Homo Sapiens
459	hsa-miR-630		GPL15467	Homo Sapiens
460	hsa-miR-631		GPL15467	Homo Sapiens
461	hsa-miR-603		GPL15467	Homo Sapiens
462	hsa-miR-604		GPL15467	Homo Sapiens
463	hsa-miR-605		GPL15467	Homo Sapiens
464	hsa-miR-606		GPL15467	Homo Sapiens
465	hsa-miR-607		GPL15467	Homo Sapiens
466	hsa-miR-608		GPL15467	Homo Sapiens
467	hsa-miR-609		GPL15467	Homo Sapiens
468	hsa-miR-633		GPL15467	Homo Sapiens
469	hsa-miR-634		GPL15467	Homo Sapiens
470	hsa-miR-635		GPL15467	Homo Sapiens
471	hsa-miR-637		GPL15467	Homo Sapiens
472	hsa-miR-638		GPL15467	Homo Sapiens
473	hsa-miR-639		GPL15467	Homo Sapiens
474	hsa-miR-640		GPL15467	Homo Sapiens
475	hsa-miR-641		GPL15467	Homo Sapiens
476	hsa-miR-613		GPL15467	Homo Sapiens
477	hsa-miR-614		GPL15467	Homo Sapiens
478	hsa-miR-616		GPL15467	Homo Sapiens
479	hsa-miR-617		GPL15467	Homo Sapiens
480	hsa-miR-643		GPL15467	Homo Sapiens
481	hsa-miR-644		GPL15467	Homo Sapiens
482	hsa-miR-645		GPL15467	Homo Sapiens
483	hsa-miR-621		GPL15467	Homo Sapiens
484	hsa-miR-646		GPL15467	Homo Sapiens
485	hsa-miR-647		GPL15467	Homo Sapiens
486	hsa-miR-648		GPL15467	Homo Sapiens
487	hsa-miR-649		GPL15467	Homo Sapiens
488	hsa-miR-650		GPL15467	Homo Sapiens
489	hsa-miR-661		GPL15467	Homo Sapiens
490	hsa-miR-662		GPL15467	Homo Sapiens
491			GPL15467	Homo Sapiens
492	hsa-miR-571		GPL15467	Homo Sapiens
493	hsa-miR-572		GPL15467	Homo Sapiens
494	hsa-miR-573		GPL15467	Homo Sapiens
495	hsa-miR-575		GPL15467	Homo Sapiens
496	hsa-miR-578		GPL15467	Homo Sapiens
497	hsa-miR-580		GPL15467	Homo Sapiens
498	hsa-miR-581		GPL15467	Homo Sapiens
499	hsa-miR-583		GPL15467	Homo Sapiens
500	hsa-miR-584		GPL15467	Homo Sapiens
501	hsa-miR-585		GPL15467	Homo Sapiens
502	rno-miR-29c#		GPL15467	Homo Sapiens
503	hsa-miR-766		GPL15467	Homo Sapiens
504	hsa-miR-595		GPL15467	Homo Sapiens
505	hsa-miR-668		GPL15467	Homo Sapiens
506	hsa-miR-767-5p		GPL15467	Homo Sapiens
507	hsa-miR-767-3p		GPL15467	Homo Sapiens
508	hsa-miR-454#		GPL15467	Homo Sapiens
509	hsa-miR-769-5p		GPL15467	Homo Sapiens
510	hsa-miR-770-5p		GPL15467	Homo Sapiens
511	hsa-miR-769-3p		GPL15467	Homo Sapiens
512	hsa-miR-802		GPL15467	Homo Sapiens
513	hsa-miR-675		GPL15467	Homo Sapiens
514	hsa-miR-505#		GPL15467	Homo Sapiens
515	hsa-miR-218-1#		GPL15467	Homo Sapiens
